,Architecture,Cost,Energy,Error,Iteration,Method,SD,Total_Cost,Unnamed: 0,Volume
129,Deepspeech,0.0,0.282455613477,0.338966124028,129,FlexiBO+RF-Ratio,0.00015777928191,156.0,129.0,0.358610634308
130,Deepspeech,5.2,0.271333340041,0.404386195387,130,FlexiBO+RF-Ratio,0.00657702453892,161.2,130.0,0.358610634308
131,Deepspeech,0.0,0.299992859941,0.304201904932,131,FlexiBO+RF-Ratio,0.0168549580372,161.2,131.0,0.358610634308
132,Deepspeech,0.0,0.223501251497,0.300307474601,132,FlexiBO+RF-Ratio,0.049370151613,161.2,132.0,0.358610634308
133,Deepspeech,0.0,0.254092655455,0.285518922715,133,FlexiBO+RF-Ratio,0.0115232328642,161.2,133.0,0.358610634308
134,Deepspeech,0.0,0.198437195421,0.425886717074,134,FlexiBO+RF-Ratio,0.02872444158,161.2,134.0,0.358610634308
135,Deepspeech,5.2,0.303841070269,0.35397312965,135,FlexiBO+RF-Ratio,0.00838489019067,166.4,135.0,0.358610634308
136,Deepspeech,0.0,0.230332923606,0.263106557378,136,FlexiBO+RF-Ratio,0.0349003189942,166.4,136.0,0.358610634308
137,Deepspeech,5.2,0.214266600155,0.332882087026,137,FlexiBO+RF-Ratio,0.0455270703361,171.6,137.0,0.358523533358
138,Deepspeech,5.2,0.21854040839,0.301211065406,138,FlexiBO+RF-Ratio,0.0299100640073,176.8,138.0,0.358523533358
139,Deepspeech,0.0,0.205834908607,0.424139155548,139,FlexiBO+RF-Ratio,0.0415523476575,176.8,139.0,0.358523533358
140,Deepspeech,5.2,0.225100193301,0.329687055076,140,FlexiBO+RF-Ratio,0.0491664609627,182.0,140.0,0.358523533358
141,Deepspeech,5.2,0.311809670915,0.300251279273,141,FlexiBO+RF-Ratio,0.00987023530906,187.2,141.0,0.358523533358
142,Deepspeech,0.0,0.343376419495,0.35835783475,142,FlexiBO+RF-Ratio,0.0162777908621,187.2,142.0,0.358523533358
143,Deepspeech,0.0,0.20944879237,0.273617717646,143,FlexiBO+RF-Ratio,0.020178715998,187.2,143.0,0.358523533358
144,Deepspeech,0.0,0.296895893663,0.389563671107,144,FlexiBO+RF-Ratio,0.0457265464829,187.2,144.0,0.358523533358
145,Deepspeech,0.0,0.328716174002,0.334045317352,145,FlexiBO+RF-Ratio,0.0401612501369,187.2,145.0,0.358523533358
146,Deepspeech,0.0,0.337479207349,0.342828601332,146,FlexiBO+RF-Ratio,0.0122176893109,187.2,146.0,0.358523533358
147,Deepspeech,0.0,0.248601284656,0.362135140931,147,FlexiBO+RF-Ratio,0.00267527048387,187.2,147.0,0.358523533358
